evid,datetime,lat,lon,depth,loc_type,loc_grid,mag,mag_type,mag_method,mag_unc,mag_orig,mag_orig_type,mag_orig_unc,ndef,nsta,nmag,t_res,reloc,tect_class,tect_method,domain_no,domain_type,strike,dip,rake,f_length,f_width,f_type,z_tor,z_bor,hyp_lat,hyp_lon,hyp_strike,hyp_dip,corner_0_lat,corner_0_lon,corner_0_depth,corner_1_lat,corner_1_lon,corner_1_depth,corner_2_lat,corner_2_lon,corner_2_depth,corner_3_lat,corner_3_lon,corner_3_depth
1476956,2000-01-18T05:37:07.707000Z,-45.08298,167.45192,5,GROPE,nz1dr,4.157,ML,uncorrected,0.164,4.157,ML,0.164,10,6,8,0.21951,no,Crustal,puy_slab2_dep_02.26.18,23,Crustal block,43.408722,37.436152,140,1.112152909,1.116899166,domain,4.614512326,5.293449601,-45.08298,167.45192,0.514086835,0.567780984,-45.08313311,167.4422646,4614.512326,-45.0763657,167.4526328,4614.512326,-45.0889909,167.4498821,5293.449601,-45.0822228,167.4602505,5293.449601
1485433,2000-02-02T03:27:19.581000Z,-44.46069,168.06258,5,GROPE,nz1dr,4.509,ML,uncorrected,0.194,4.509,ML,0.194,13,6,14,0.15886,no,Crustal,,19,Contractional,203.710906,58.268436,80,1.785922447,1.656184638,domain,4.157436091,5.566056733,-44.46069,168.06258,0.462575218,0.598148205,-44.45622358,168.0731284,4157.436091,-44.47050066,168.062896,4157.436091,-44.45264958,168.0634064,5566.056733,-44.46692571,168.0531724,5566.056733
1486082,2000-02-05T03:18:15.538000Z,-40.39536,175.61188,47.895,GROPE,nz1dr,4.178,ML,uncorrected,0.254,4.178,ML,0.254,40,33,20,0.2262,no,Slab,hik_kerm_fault_300km_wgs84_poslon,12,Contractional,39.647161,63.694036,123,1.68738823,1.725012894,domain,47.1248572,48.67122828,-40.39536,175.61188,0.51574286,0.498032336,-40.39942971,175.6020411,47124.8572,-40.38745047,175.6142627,47124.8572,-40.40366333,175.6091399,48671.22828,-40.39168336,175.6213609,48671.22828
1489136,2000-02-11T10:34:05.214000Z,-42.10434,174.67673,31.8023,GROPE,nz1dr,4.152,ML,uncorrected,0.125,4.152,ML,0.125,26,21,14,0.20949,no,Undetermined,,0,Oceanic,217.211669,87.007874,45,1.159390283,1.02096577,domain,31.07484837,32.09442227,-42.10434,174.67673,0.532162969,0.713485927,-42.10005201,174.6814955,31074.84837,-42.1084885,174.6732382,31074.84837,-42.09976938,174.6809748,32094.42227,-42.10820583,174.6727174,32094.42227
1493377,2000-02-26T02:56:04.133000Z,-40.92672,174.46097,74.2517,GROPE,nz1dr,4.552,ML,uncorrected,0.252,4.552,ML,0.252,46,37,10,0.21017,no,Slab,hik_kerm_fault_300km_wgs84_poslon,13,Contractional,56.688262,61.605698,125,2.277495848,2.559586535,domain,73.17658046,75.42823816,-40.92672,174.46097,0.350292546,0.47747912,-40.92643958,174.4492548,73176.58046,-40.91488947,174.4716032,73176.58046,-40.93549975,174.457393,75428.23816,-40.92394806,174.479743,75428.23816
1512951,2000-03-28T16:34:10.971000Z,-45.09928,167.43448,73.7245,GROPE,nz1dr,4.381,ML,uncorrected,0.254,4.381,ML,0.254,16,9,16,0.16215,no,Slab,puy_slab2_dep_02.26.18,23,Crustal block,38.395817,49.902215,140,1.949845658,2.040499725,domain,72.90957601,74.47044872,-45.09928,167.43448,0.44140538,0.522095096,-45.10084118,167.4206979,72909.57601,-45.08789959,167.4373512,72909.57601,-45.10879228,167.4330151,74470.44872,-45.09584887,167.4496683,74470.44872
1502697,2000-03-29T14:27:13.684000Z,-41.01747,175.44363,29.0304,GROPE,nz1dr,4.264,ML,uncorrected,0.183,4.264,ML,0.183,33,28,12,0.14984,no,Slab,hik_kerm_fault_300km_wgs84_poslon,5,Strike-slip,207.342494,74.877841,-134,1.702333445,2.186302824,domain,28.17464373,30.28523884,-41.01747,175.44363,0.51597099,0.405457336,-41.01125029,175.4506399,28174.64373,-41.02505686,175.4418526,28174.64373,-41.00902045,175.4445331,30285.23884,-41.02282659,175.4357447,30285.23884
1502698,2000-03-29T14:30:58.945000Z,-41.06073,175.43401,30.7174,GROPE,nz1dr,5.2,Mw,uncorrected,,5.2,Mw,,58,50,0,0.16522,no,Slab,NZSMDB,0,Oceanic,215.729788,80.273198,45,4.774802883,5.023954572,domain,28.19148334,33.14321627,-41.06073,175.43401,0.492968717,0.510107613,-41.04537312,175.4539784,28191.48334,-41.08095968,175.4221118,28191.48334,-41.04108636,175.4456221,33143.21627,-41.0766707,175.4137529,33143.21627
1504146,2000-03-31T17:56:06.091000Z,-41.26632,174.27835,47.0461,GROPE,nz1dr,5.418,ML,uncorrected,0.164,5.418,ML,0.164,55,44,10,0.18691,no,Slab,hik_kerm_fault_300km_wgs84_poslon,14,Strike-slip,260.134786,69.979771,173,5.244503302,6.786963983,domain,44.18820916,50.56504916,-41.26632,174.27835,0.48801462,0.448167249,-41.27124769,174.3106812,44188.20916,-41.28002542,174.2491598,44188.20916,-41.25068658,174.3055187,50565.04916,-41.25946132,174.2440159,50565.04916
1504207,2000-04-01T00:55:13.899000Z,-41.22408,174.26648,44.2934,GROPE,nz1dr,4.227,ML,uncorrected,0.132,4.227,ML,0.132,49,40,12,0.17399,no,Interface,hik_kerm_fault_300km_wgs84_poslon,14,Strike-slip,243.102957,63.67565,173,1.633108366,1.772977574,domain,43.40571679,44.99483313,-41.22408,174.26648,0.498313893,0.558601775,-41.22417003,174.2775109,43405.71679,-41.23101489,174.2602663,43405.71679,-41.21790246,174.2731458,44994.83313,-41.22474666,174.2559024,44994.83313
