evid,datetime,lat,long,mag,f_type,strike,dip,rake,length,dip_dist,z_tor,dbottom,hyp_lat,hyp_lon,hyp_strike,hyp_dip,corner_0_lat,corner_0_lon,corner_0_depth,corner_1_lat,corner_1_lon,corner_1_depth,corner_2_lat,corner_2_lon,corner_2_depth,corner_3_lat,corner_3_lon,corner_3_depth
1476956,2000-01-18T05:37:07.707000Z,-45.08298,167.45192,4.157,domain,43.408722,37.436152,140,1.112152909,1.116899166,4.614512326,5.293449601,-45.08298,167.45192,0.514086835,0.567780984,-45.08313311,167.4422646,4614.512326,-45.0763657,167.4526328,4614.512326,-45.0889909,167.4498821,5293.449601,-45.0822228,167.4602505,5293.449601
1485433,2000-02-02T03:27:19.581000Z,-44.46069,168.06258,4.509,domain,203.710906,58.268436,80,1.785922447,1.656184638,4.157436091,5.566056733,-44.46069,168.06258,0.462575218,0.598148205,-44.45622358,168.0731284,4157.436091,-44.47050066,168.062896,4157.436091,-44.45264958,168.0634064,5566.056733,-44.46692571,168.0531724,5566.056733
1502697,2000-03-29T14:27:13.684000Z,-41.01747,175.44363,4.264,domain,207.342494,74.877841,-134,1.702333445,2.186302824,28.17464373,30.28523884,-41.01747,175.44363,0.51597099,0.405457336,-41.01125029,175.4506399,28174.64373,-41.02505686,175.4418526,28174.64373,-41.00902045,175.4445331,30285.23884,-41.02282659,175.4357447,30285.23884
1502698,2000-03-29T14:30:58.945000Z,-41.06073,175.43401,5.2,domain,215.729788,80.273198,45,4.774802883,5.023954572,28.19148334,33.14321627,-41.06073,175.43401,0.492968717,0.510107613,-41.04537312,175.4539784,28191.48334,-41.08095968,175.4221118,28191.48334,-41.04108636,175.4456221,33143.21627,-41.0766707,175.4137529,33143.21627
1504146,2000-03-31T17:56:06.091000Z,-41.26632,174.27835,5.418,domain,260.134786,69.979771,173,5.244503302,6.786963983,44.18820916,50.56504916,-41.26632,174.27835,0.48801462,0.448167249,-41.27124769,174.3106812,44188.20916,-41.28002542,174.2491598,44188.20916,-41.25068658,174.3055187,50565.04916,-41.25946132,174.2440159,50565.04916
1507559,2000-04-13T02:49:59.521000Z,-38.62122,178.0675,4.496,domain,215.964348,86.816121,45,2.136009325,1.524893159,29.19939155,30.72193093,-38.62122,178.0675,0.478184255,0.774895196,-38.61382033,178.0744717,29199.39155,-38.62996288,178.0612128,29199.39155,-38.61340795,178.0736559,30721.93093,-38.62955041,178.0603968,30721.93093
1515206,2000-04-25T04:26:29.894000Z,-45.47778,166.98297,5.353,domain,37.904002,48.820837,140,6.515461204,5.445753878,63.0208483,67.11961898,-45.47778,166.98297,0.502935432,0.472202973,-45.48935184,166.9388704,63020.8483,-45.44603325,166.994718,63020.8483,-45.51098133,166.9727638,67119.61898,-45.46764592,167.0286102,67119.61898
1515717,2000-04-27T09:14:45.812000Z,-40.1917,173.9805,5.879,domain,213.523609,56.216824,-127,9.504520557,11.27128533,131.8872253,141.2553291,-40.1917,173.9805,0.482542705,0.448316413,-40.17073767,174.0374549,131887.2253,-40.24265006,173.9768399,131887.2253,-40.14009032,173.9756545,141255.3291,-40.21197115,173.9150002,141255.3291
1522623,2000-05-16T07:03:26.738000Z,-40.02231,174.78896,5.533,domain,217.769822,68.192747,-127,5.890469114,4.985833637,111.5567808,116.1858223,-40.02231,174.78896,0.4979036,0.649987516,-40.0075711,174.8207691,111556.7808,-40.05015912,174.7796083,111556.7808,-39.99762334,174.8033548,116185.8223,-40.04020534,174.7621887,116185.8223
1530499,2000-06-05T19:52:47.218000Z,-45.0966,167.49689,4.779,domain,44.259451,44.390931,140,3.341785427,2.531602717,91.67898881,93.44997211,-45.0966,167.49689,0.426013682,0.542699181,-45.09855685,167.4751365,91678.98881,-45.07853959,167.5067043,91678.98881,-45.11066359,167.4904356,93449.97211,-45.09064216,167.5220056,93449.97211
1536266,2000-06-23T01:42:23.120000Z,-41.58946,174.42343,4.423,domain,251.006704,72.287289,173,2.092604775,2.218602923,18.91106369,21.02449155,-41.58946,174.42343,0.45894789,0.609784859,-41.58999453,174.435944,18911.06369,-41.59642114,174.4123448,18911.06369,-41.58428031,174.433182,21024.49155,-41.59070633,174.4095846,21024.49155
1597193,2000-08-08T10:31:19.555000Z,-39.15628,176.28032,5.3,domain,208.767648,72.438443,-134,4.655435971,5.297839088,47.65580548,52.70672993,-39.15628,176.28032,0.565043687,0.459934522,-39.13809515,176.3015732,47655.80548,-39.17553898,176.2773961,47655.80548,-39.13163216,176.2850645,52706.72993,-39.16907287,176.2608804,52706.72993
1598374,2000-08-14T14:02:16.995000Z,-40.84069,175.25717,4.644,domain,212.96895,85.105226,-134,3.095267037,3.424891826,34.02684886,37.43925039,-40.84069,175.25717,0.485406297,0.444599244,-40.82976449,175.2677877,34026.84886,-40.85353073,175.2486166,34026.84886,-40.82839011,175.2648335,37439.25039,-40.85215588,175.2456617,37439.25039
1609211,2000-09-16T18:56:21.869000Z,-44.62333,167.73262,4.49,domain,40.315678,44.670883,140,1.777577417,1.642560695,31.38884371,32.54361873,-44.62333,167.73262,0.438715983,0.62891583,-44.62378066,167.7191583,31388.84371,-44.61229881,167.7346958,31388.84371,-44.63107354,167.7297235,32543.61873,-44.61959025,167.7452612,32543.61873
1612426,2000-09-24T15:26:21.049000Z,-39.4021,175.64502,5.591,domain,31.324583,56.024327,-94,7.470719256,6.508697621,97.92057174,103.3180715,-39.4021,175.64502,0.546425254,0.523543936,-39.42555914,175.602359,97920.57174,-39.36709839,175.6452642,97920.57174,-39.44176729,175.6390633,103318.0715,-39.38329383,175.6819462,103318.0715
1613958,2000-10-01T15:04:52.598000Z,-41.5668,174.37361,4.712,domain,249.439199,69.67241,173,2.301353462,2.471014911,11.89596919,14.21309365,-41.5668,174.37361,0.482306961,0.646158992,-41.56778847,174.3884315,11895.96919,-41.57537561,174.362748,11895.96919,-41.5605948,174.3846622,14213.09365,-41.56818108,174.358981,14213.09365
1614155,2000-10-02T16:58:54.193000Z,-43.2015,171.05051,4.204,domain,203.941634,62.015283,80,1.305525485,1.293729428,4.398538514,5.540995766,-43.2015,171.05051,0.510890892,0.526463012,-43.19729891,171.0575701,4398.538514,-43.20792627,171.0507112,4398.538514,-43.19496574,171.0508157,5540.995766,-43.20559269,171.0439559,5540.995766
1614281,2000-10-03T00:15:01.108000Z,-43.18903,171.08464,4.46,domain,188.406911,57.588096,80,1.710043181,1.488491645,4.20523309,5.461842425,-43.18903,171.08464,0.53263179,0.632469366,-43.1817148,171.0926495,4205.23309,-43.19688812,171.0890998,4205.23309,-43.18050274,171.082976,5461.842425,-43.19567571,171.0794239,5461.842425
1615147,2000-10-07T16:49:21.144000Z,-39.87608,175.27296,4.074,domain,19.093226,68.89113,123,1.024922423,1.073227119,30.4524511,31.45366231,-39.87608,175.27296,0.531258668,0.62429275,-39.88009475,175.2683437,30452.4511,-39.87129837,175.2719735,30452.4511,-39.8811494,175.2726494,31453.66231,-39.8723529,175.2762787,31453.66231
1632935,2000-10-30T16:32:18.971000Z,-40.78473,175.00157,5.258,domain,24.730764,68.833566,123,5.309325377,4.73288567,53.10673524,57.52031913,-40.78473,175.00157,0.510856903,0.526684168,-40.80391849,174.9790044,53106.73524,-40.76004785,175.0040153,53106.73524,-40.81003816,174.9975882,57520.31913,-40.76616377,175.0225889,57520.31913
1635267,2000-11-01T10:35:55.779000Z,-45.1172,166.9462,6.1,domain,53.671864,42.856375,140,13.90960863,15.30056193,4.260626134,14.66750098,-45.1172,166.9462,0.496666366,0.455407982,-45.11116747,166.837615,4260.626134,-45.0449849,166.9870477,4260.626134,-45.19656826,166.9129681,14667.50098,-45.13029396,167.0625579,14667.50098
1636051,2000-11-04T05:41:51.183000Z,-45.14468,166.99367,4.637,domain,50.842469,50.674303,140,2.604981147,3.12524666,25.34170052,27.759254,-45.14468,166.99367,0.432505277,0.419018438,-45.14435351,166.9759256,25341.70052,-45.13097742,167.0030272,25341.70052,-45.15893819,166.9902958,27759.254,-45.14555888,167.0174017,27759.254
1638093,2000-11-11T23:57:13.959000Z,-44.26065,168.17165,4.314,domain,47.12842,51.138632,127,1.492789199,1.31820046,4.34483468,5.371273056,-44.26065,168.17165,0.458608004,0.638289969,-44.26090173,168.160845,4344.83468,-44.25236947,168.175249,4344.83468,-44.26663765,168.167423,5371.273056,-44.25810459,168.1818276,5371.273056
